
================================================================================================
NEWUSERS nu_first_organic_video — pareamento por spend — alta vs baixa DENTRO de quintil de spend × fim-de-semana × fase de venda
================================================================================================
métrica                               baixa         alta   variação        p   IC95 bootstrap
Transações/dia                      1,125.4      1,381.9      23.4%    0.000   [+16.3%, +33.6%] ***
Receita/dia (R$)                  454,610.8    522,605.2      23.2%    0.000   [+14.6%, +37.7%] ***
Tx canais orgânicos                    95.4        127.6      43.7%    0.000   [+30.4%, +68.8%] ***
Tx digitais                           844.6      1,081.2      29.6%    0.000   [+21.4%, +41.4%] ***
CAC de ads (R$)                       311.9        277.9      -9.5%    0.002   [-14.0%, -3.9%] ***
ROAS                                    3.6          4.4      19.7%    0.000   [+11.8%, +31.3%] ***
Tx digitais/1k sessões                  6.9          7.9      18.6%    0.000   [+9.5%, +31.2%] ***
Ticket médio (R$)                     395.4        390.3       1.7%    0.466   [-3.9%, +9.0%] 
Spend/dia (R$) [checagem]         144,676.8    148,643.0       3.7%    0.046   [+0.1%, +8.4%] **
